date,store,item,qty
2021-09-01 00:00:00,Osaka,Apple,4
2021-09-01 01:00:00,Osaka,Apple,3
2021-09-01 02:00:00,Tokyo,Apple,1
2021-09-01 04:00:00,Tokyo,Apple,1
2021-09-01 05:00:00,Tokyo,Grape,1
2021-09-01 07:00:00,Tokyo,Grape,1
2021-09-01 08:00:00,Tokyo,Grape,2
2021-09-01 09:00:00,Osaka,Apple,5
2021-09-01 10:00:00,Osaka,Orange,1
2021-09-01 11:00:00,Tokyo,Apple,3
2021-09-01 13:00:00,Osaka,Grape,3
2021-09-01 14:00:00,Osaka,Grape,5
2021-09-01 16:00:00,Osaka,Orange,3
2021-09-01 17:00:00,Osaka,Orange,3
2021-09-01 18:00:00,Osaka,Orange,4
2021-09-01 19:00:00,Osaka,Grape,1
2021-09-01 20:00:00,Tokyo,Grape,1
2021-09-01 22:00:00,Osaka,Apple,2
2021-09-01 23:00:00,Osaka,Apple,1
2021-09-02 03:00:00,Osaka,Grape,4
2021-09-02 04:00:00,Osaka,Apple,1
2021-09-02 05:00:00,Osaka,Grape,4
2021-09-02 06:00:00,Tokyo,Grape,5
2021-09-02 08:00:00,Tokyo,Apple,1
2021-09-02 10:00:00,Tokyo,Apple,1
2021-09-02 11:00:00,Tokyo,Apple,1
2021-09-02 12:00:00,Osaka,Apple,1
2021-09-02 14:00:00,Osaka,Grape,3
2021-09-02 15:00:00,Osaka,Apple,1
2021-09-02 16:00:00,Tokyo,Apple,2
2021-09-02 17:00:00,Tokyo,Apple,1
2021-09-02 19:00:00,Tokyo,Apple,1
2021-09-02 21:00:00,Osaka,Apple,3
2021-09-02 22:00:00,Tokyo,Grape,3
2021-09-03 03:00:00,Tokyo,Apple,6
2021-09-03 04:00:00,Tokyo,Orange,1
2021-09-03 09:00:00,Tokyo,Orange,3
2021-09-03 11:00:00,Tokyo,Apple,3
2021-09-03 12:00:00,Osaka,Grape,3
2021-09-03 14:00:00,Osaka,Orange,1
2021-09-03 16:00:00,Osaka,Apple,3
2021-09-03 17:00:00,Tokyo,Apple,1
2021-09-03 18:00:00,Osaka,Apple,2
2021-09-03 19:00:00,Tokyo,Apple,1
2021-09-03 20:00:00,Tokyo,Grape,2
2021-09-03 21:00:00,Tokyo,Apple,5
2021-09-03 22:00:00,Tokyo,Orange,1
2021-09-03 23:00:00,Tokyo,Apple,4
2021-09-04 04:00:00,Osaka,Apple,3
2021-09-04 07:00:00,Osaka,Apple,1
2021-09-04 08:00:00,Osaka,Orange,5
2021-09-04 09:00:00,Osaka,Orange,1
2021-09-04 12:00:00,Osaka,Grape,1
2021-09-04 16:00:00,Osaka,Apple,2
2021-09-04 18:00:00,Osaka,Grape,5
2021-09-04 19:00:00,Tokyo,Grape,2
2021-09-04 20:00:00,Tokyo,Apple,1
2021-09-04 21:00:00,Osaka,Apple,4
2021-09-05 01:00:00,Tokyo,Grape,3
2021-09-05 02:00:00,Osaka,Apple,1
2021-09-05 03:00:00,Tokyo,Apple,1
2021-09-05 04:00:00,Osaka,Grape,1
2021-09-05 05:00:00,Osaka,Grape,2
2021-09-05 07:00:00,Osaka,Grape,4
2021-09-05 08:00:00,Tokyo,Orange,1
2021-09-05 10:00:00,Osaka,Grape,1
2021-09-05 11:00:00,Tokyo,Apple,2
2021-09-05 12:00:00,Osaka,Grape,9
2021-09-05 13:00:00,Tokyo,Apple,4
2021-09-05 14:00:00,Tokyo,Grape,1
2021-09-05 16:00:00,Tokyo,Grape,1
2021-09-05 20:00:00,Osaka,Grape,6
2021-09-05 21:00:00,Tokyo,Grape,1
2021-09-06 01:00:00,Tokyo,Apple,1
2021-09-06 02:00:00,Tokyo,Orange,7
2021-09-06 03:00:00,Osaka,Grape,7
2021-09-06 04:00:00,Tokyo,Apple,1
2021-09-06 05:00:00,Tokyo,Grape,1
2021-09-06 06:00:00,Osaka,Apple,2
2021-09-06 07:00:00,Tokyo,Apple,1
2021-09-06 08:00:00,Tokyo,Apple,1
2021-09-06 10:00:00,Osaka,Grape,2
2021-09-06 13:00:00,Tokyo,Grape,4
2021-09-06 15:00:00,Tokyo,Grape,6
2021-09-06 16:00:00,Tokyo,Grape,8
2021-09-06 17:00:00,Osaka,Apple,1
2021-09-06 23:00:00,Osaka,Grape,3
2021-09-07 06:00:00,Osaka,Apple,1
2021-09-07 07:00:00,Osaka,Apple,5
2021-09-07 09:00:00,Osaka,Grape,2
2021-09-07 12:00:00,Tokyo,Grape,4
2021-09-07 13:00:00,Osaka,Apple,3
2021-09-07 17:00:00,Tokyo,Grape,5
2021-09-07 19:00:00,Tokyo,Grape,3
2021-09-07 20:00:00,Tokyo,Apple,1
2021-09-07 22:00:00,Osaka,Apple,2
2021-09-07 23:00:00,Tokyo,Grape,1
2021-09-08 01:00:00,Tokyo,Apple,1
2021-09-08 02:00:00,Osaka,Apple,2
2021-09-08 03:00:00,Tokyo,Grape,3
2021-09-08 04:00:00,Tokyo,Grape,2
2021-09-08 05:00:00,Tokyo,Apple,2
2021-09-08 06:00:00,Tokyo,Grape,1
2021-09-08 08:00:00,Tokyo,Apple,5
2021-09-08 09:00:00,Tokyo,Grape,2
2021-09-08 11:00:00,Osaka,Apple,2
2021-09-08 12:00:00,Osaka,Apple,1
2021-09-08 13:00:00,Osaka,Grape,2
2021-09-08 15:00:00,Tokyo,Apple,1
2021-09-08 16:00:00,Tokyo,Apple,2
2021-09-08 18:00:00,Tokyo,Apple,1
2021-09-08 21:00:00,Tokyo,Apple,4
2021-09-08 23:00:00,Tokyo,Apple,4
2021-09-09 00:00:00,Osaka,Apple,1
2021-09-09 01:00:00,Tokyo,Apple,1
2021-09-09 03:00:00,Tokyo,Apple,1
2021-09-09 05:00:00,Tokyo,Grape,1
2021-09-09 07:00:00,Tokyo,Apple,3
2021-09-09 10:00:00,Tokyo,Grape,1
2021-09-09 11:00:00,Tokyo,Grape,5
2021-09-09 13:00:00,Tokyo,Apple,2
2021-09-09 15:00:00,Osaka,Apple,1
2021-09-09 16:00:00,Tokyo,Apple,2
2021-09-09 17:00:00,Tokyo,Apple,1
2021-09-09 18:00:00,Tokyo,Apple,1
2021-09-09 20:00:00,Osaka,Grape,1
2021-09-09 23:00:00,Osaka,Apple,2
2021-09-10 00:00:00,Osaka,Orange,1
2021-09-10 01:00:00,Tokyo,Orange,5
2021-09-10 02:00:00,Osaka,Apple,6
2021-09-10 03:00:00,Osaka,Apple,1
2021-09-10 06:00:00,Tokyo,Grape,1
2021-09-10 07:00:00,Tokyo,Grape,2
2021-09-10 08:00:00,Osaka,Apple,5
2021-09-10 11:00:00,Tokyo,Grape,4
2021-09-10 12:00:00,Tokyo,Grape,3
2021-09-10 13:00:00,Tokyo,Apple,2
2021-09-10 14:00:00,Osaka,Apple,1
2021-09-10 15:00:00,Osaka,Grape,2
2021-09-10 16:00:00,Tokyo,Apple,1
2021-09-10 19:00:00,Osaka,Apple,3
2021-09-10 20:00:00,Tokyo,Orange,3
2021-09-10 21:00:00,Tokyo,Apple,6
2021-09-10 22:00:00,Tokyo,Apple,4
2021-09-10 23:00:00,Tokyo,Apple,2
2021-09-11 00:00:00,Osaka,Apple,1
2021-09-11 01:00:00,Osaka,Apple,2
2021-09-11 03:00:00,Tokyo,Grape,5
2021-09-11 04:00:00,Osaka,Apple,2
2021-09-11 05:00:00,Tokyo,Apple,1
2021-09-11 06:00:00,Osaka,Grape,1
2021-09-11 07:00:00,Tokyo,Apple,2
2021-09-11 08:00:00,Tokyo,Apple,1
2021-09-11 09:00:00,Tokyo,Orange,4
2021-09-11 10:00:00,Osaka,Grape,1
2021-09-11 12:00:00,Osaka,Grape,1
2021-09-11 14:00:00,Osaka,Apple,4
2021-09-11 15:00:00,Tokyo,Grape,3
2021-09-11 16:00:00,Osaka,Apple,1
2021-09-11 20:00:00,Osaka,Apple,1
2021-09-11 21:00:00,Osaka,Grape,2
2021-09-11 23:00:00,Tokyo,Grape,2
2021-09-12 00:00:00,Tokyo,Grape,3
2021-09-12 01:00:00,Osaka,Grape,2
2021-09-12 02:00:00,Tokyo,Apple,1
2021-09-12 03:00:00,Tokyo,Grape,2
2021-09-12 04:00:00,Tokyo,Apple,8
2021-09-12 05:00:00,Osaka,Grape,4
2021-09-12 07:00:00,Tokyo,Orange,2
2021-09-12 09:00:00,Tokyo,Apple,1
2021-09-12 11:00:00,Osaka,Apple,1
2021-09-12 12:00:00,Tokyo,Orange,1
2021-09-12 13:00:00,Tokyo,Orange,2
2021-09-12 14:00:00,Tokyo,Grape,3
2021-09-12 15:00:00,Tokyo,Grape,1
2021-09-12 17:00:00,Tokyo,Apple,2
2021-09-12 18:00:00,Tokyo,Orange,2
2021-09-12 19:00:00,Tokyo,Orange,6
2021-09-12 20:00:00,Tokyo,Apple,1
2021-09-12 21:00:00,Tokyo,Grape,1
2021-09-12 22:00:00,Tokyo,Apple,1
2021-09-12 23:00:00,Tokyo,Orange,4
2021-09-13 00:00:00,Tokyo,Grape,2
2021-09-13 03:00:00,Tokyo,Grape,3
2021-09-13 04:00:00,Osaka,Apple,1
2021-09-13 05:00:00,Osaka,Grape,4
2021-09-13 06:00:00,Tokyo,Grape,1
2021-09-13 09:00:00,Tokyo,Apple,11
2021-09-13 11:00:00,Osaka,Apple,2
2021-09-13 12:00:00,Osaka,Orange,1
2021-09-13 14:00:00,Osaka,Grape,1
2021-09-13 16:00:00,Osaka,Orange,7
2021-09-13 17:00:00,Osaka,Grape,1
2021-09-13 19:00:00,Tokyo,Apple,1
2021-09-13 20:00:00,Osaka,Grape,2
2021-09-13 22:00:00,Tokyo,Orange,2
2021-09-13 23:00:00,Tokyo,Apple,2
2021-09-14 01:00:00,Tokyo,Grape,6
2021-09-14 03:00:00,Osaka,Apple,3
2021-09-14 04:00:00,Osaka,Grape,1
2021-09-14 07:00:00,Osaka,Grape,1
2021-09-14 09:00:00,Osaka,Apple,3
2021-09-14 12:00:00,Tokyo,Grape,1
2021-09-14 14:00:00,Osaka,Grape,3
2021-09-14 18:00:00,Tokyo,Grape,1
2021-09-14 19:00:00,Tokyo,Grape,1
2021-09-14 21:00:00,Tokyo,Grape,9
2021-09-14 22:00:00,Osaka,Apple,1
2021-09-15 00:00:00,Tokyo,Orange,2
2021-09-15 02:00:00,Tokyo,Apple,1
2021-09-15 03:00:00,Tokyo,Orange,2
2021-09-15 04:00:00,Tokyo,Grape,6
2021-09-15 05:00:00,Osaka,Apple,2
2021-09-15 06:00:00,Osaka,Grape,4
2021-09-15 08:00:00,Tokyo,Apple,1
2021-09-15 14:00:00,Tokyo,Grape,3
2021-09-15 16:00:00,Osaka,Grape,3
2021-09-15 17:00:00,Tokyo,Apple,1
2021-09-15 19:00:00,Tokyo,Apple,1
2021-09-15 21:00:00,Osaka,Orange,1
2021-09-15 23:00:00,Osaka,Apple,3
2021-09-16 02:00:00,Tokyo,Grape,10
2021-09-16 03:00:00,Osaka,Orange,1
2021-09-16 04:00:00,Osaka,Grape,1
2021-09-16 05:00:00,Tokyo,Orange,3
2021-09-16 07:00:00,Osaka,Orange,1
2021-09-16 08:00:00,Tokyo,Orange,1
2021-09-16 09:00:00,Tokyo,Grape,3
2021-09-16 10:00:00,Osaka,Orange,1
2021-09-16 11:00:00,Tokyo,Apple,1
2021-09-16 12:00:00,Tokyo,Orange,1
2021-09-16 13:00:00,Tokyo,Grape,3
2021-09-16 15:00:00,Osaka,Apple,1
2021-09-16 16:00:00,Tokyo,Apple,2
2021-09-16 17:00:00,Tokyo,Apple,10
2021-09-16 18:00:00,Tokyo,Apple,2
2021-09-16 19:00:00,Osaka,Grape,6
2021-09-16 20:00:00,Osaka,Apple,1
2021-09-16 21:00:00,Tokyo,Grape,1
2021-09-16 22:00:00,Osaka,Grape,2
2021-09-17 01:00:00,Osaka,Apple,7
2021-09-17 03:00:00,Osaka,Orange,18
2021-09-17 04:00:00,Osaka,Apple,3
2021-09-17 06:00:00,Osaka,Apple,3
2021-09-17 07:00:00,Tokyo,Apple,8
2021-09-17 09:00:00,Osaka,Grape,2
2021-09-17 10:00:00,Osaka,Apple,2
2021-09-17 12:00:00,Osaka,Apple,3
2021-09-17 14:00:00,Osaka,Apple,2
2021-09-17 15:00:00,Osaka,Apple,5
2021-09-17 17:00:00,Osaka,Apple,1
2021-09-17 20:00:00,Tokyo,Orange,2
2021-09-17 21:00:00,Tokyo,Apple,7
2021-09-17 22:00:00,Tokyo,Orange,1
2021-09-18 00:00:00,Osaka,Grape,1
2021-09-18 01:00:00,Tokyo,Apple,1
2021-09-18 02:00:00,Tokyo,Grape,1
2021-09-18 03:00:00,Osaka,Grape,1
2021-09-18 05:00:00,Osaka,Apple,7
2021-09-18 06:00:00,Tokyo,Apple,11
2021-09-18 09:00:00,Tokyo,Grape,1
2021-09-18 10:00:00,Tokyo,Grape,2
2021-09-18 12:00:00,Tokyo,Apple,3
2021-09-18 13:00:00,Osaka,Orange,2
2021-09-18 15:00:00,Osaka,Grape,4
2021-09-18 16:00:00,Tokyo,Grape,2
2021-09-18 18:00:00,Tokyo,Orange,1
2021-09-18 19:00:00,Osaka,Apple,7
2021-09-18 21:00:00,Tokyo,Apple,2
2021-09-18 22:00:00,Tokyo,Grape,3
2021-09-18 23:00:00,Tokyo,Orange,2
2021-09-19 01:00:00,Osaka,Apple,1
2021-09-19 02:00:00,Osaka,Grape,3
2021-09-19 03:00:00,Tokyo,Apple,1
2021-09-19 04:00:00,Tokyo,Apple,1
2021-09-19 07:00:00,Osaka,Apple,3
2021-09-19 08:00:00,Tokyo,Orange,1
2021-09-19 09:00:00,Osaka,Grape,1
2021-09-19 12:00:00,Osaka,Grape,1
2021-09-19 14:00:00,Tokyo,Grape,3
2021-09-19 18:00:00,Tokyo,Apple,3
2021-09-19 19:00:00,Osaka,Apple,4
2021-09-19 20:00:00,Osaka,Apple,6
2021-09-19 22:00:00,Osaka,Apple,2
2021-09-19 23:00:00,Osaka,Grape,1
2021-09-20 03:00:00,Tokyo,Orange,1
2021-09-20 04:00:00,Osaka,Apple,1
2021-09-20 05:00:00,Tokyo,Orange,5
2021-09-20 07:00:00,Tokyo,Apple,2
2021-09-20 08:00:00,Osaka,Apple,3
2021-09-20 14:00:00,Osaka,Apple,1
2021-09-20 18:00:00,Tokyo,Apple,3
2021-09-20 19:00:00,Osaka,Orange,1
2021-09-20 20:00:00,Osaka,Apple,4
2021-09-20 21:00:00,Osaka,Apple,5
2021-09-20 23:00:00,Tokyo,Apple,1
2021-09-21 00:00:00,Tokyo,Apple,4
2021-09-21 01:00:00,Tokyo,Apple,1
2021-09-21 04:00:00,Osaka,Apple,8
2021-09-21 06:00:00,Tokyo,Apple,4
2021-09-21 07:00:00,Tokyo,Apple,3
2021-09-21 08:00:00,Osaka,Apple,2
2021-09-21 09:00:00,Osaka,Orange,2
2021-09-21 10:00:00,Tokyo,Grape,3
2021-09-21 11:00:00,Tokyo,Grape,3
2021-09-21 14:00:00,Osaka,Apple,1
2021-09-21 16:00:00,Osaka,Orange,1
2021-09-21 17:00:00,Tokyo,Apple,1
2021-09-21 21:00:00,Tokyo,Apple,3
2021-09-21 23:00:00,Osaka,Grape,6
2021-09-22 00:00:00,Osaka,Grape,8
2021-09-22 01:00:00,Tokyo,Apple,2
2021-09-22 02:00:00,Osaka,Apple,1
2021-09-22 04:00:00,Tokyo,Orange,1
2021-09-22 06:00:00,Osaka,Apple,1
2021-09-22 07:00:00,Tokyo,Apple,2
2021-09-22 08:00:00,Tokyo,Orange,4
2021-09-22 13:00:00,Tokyo,Apple,3
2021-09-22 14:00:00,Tokyo,Orange,1
2021-09-22 16:00:00,Osaka,Orange,1
2021-09-22 17:00:00,Tokyo,Grape,1
2021-09-22 18:00:00,Osaka,Apple,3
2021-09-22 19:00:00,Tokyo,Orange,2
2021-09-22 21:00:00,Tokyo,Apple,1
2021-09-22 22:00:00,Osaka,Apple,1
2021-09-23 01:00:00,Tokyo,Grape,2
2021-09-23 03:00:00,Tokyo,Apple,6
2021-09-23 04:00:00,Tokyo,Orange,1
2021-09-23 05:00:00,Tokyo,Grape,2
2021-09-23 07:00:00,Osaka,Orange,1
2021-09-23 08:00:00,Osaka,Grape,2
2021-09-23 09:00:00,Tokyo,Orange,3
2021-09-23 11:00:00,Osaka,Orange,1
2021-09-23 12:00:00,Tokyo,Grape,1
2021-09-23 13:00:00,Tokyo,Apple,1
2021-09-23 14:00:00,Tokyo,Apple,1
2021-09-23 16:00:00,Tokyo,Apple,3
2021-09-23 17:00:00,Tokyo,Apple,4
2021-09-23 19:00:00,Tokyo,Orange,2
2021-09-23 21:00:00,Osaka,Orange,1
2021-09-23 22:00:00,Tokyo,Apple,2
2021-09-23 23:00:00,Tokyo,Grape,1
2021-09-24 00:00:00,Osaka,Apple,2
2021-09-24 01:00:00,Tokyo,Orange,2
2021-09-24 02:00:00,Tokyo,Apple,3
2021-09-24 05:00:00,Tokyo,Orange,1
2021-09-24 06:00:00,Tokyo,Apple,1
2021-09-24 07:00:00,Tokyo,Orange,3
2021-09-24 08:00:00,Osaka,Grape,1
2021-09-24 09:00:00,Tokyo,Apple,4
2021-09-24 10:00:00,Tokyo,Grape,3
2021-09-24 11:00:00,Tokyo,Apple,1
2021-09-24 12:00:00,Tokyo,Grape,3
2021-09-24 13:00:00,Osaka,Grape,1
2021-09-24 15:00:00,Tokyo,Apple,1
2021-09-24 16:00:00,Tokyo,Apple,1
2021-09-24 17:00:00,Osaka,Apple,2
2021-09-24 19:00:00,Tokyo,Apple,2
2021-09-24 20:00:00,Tokyo,Apple,6
2021-09-24 21:00:00,Osaka,Apple,1
2021-09-25 02:00:00,Tokyo,Grape,3
2021-09-25 04:00:00,Osaka,Apple,4
2021-09-25 05:00:00,Tokyo,Apple,5
2021-09-25 08:00:00,Osaka,Apple,6
2021-09-25 10:00:00,Tokyo,Apple,3
2021-09-25 12:00:00,Osaka,Orange,9
2021-09-25 14:00:00,Tokyo,Orange,1
2021-09-25 15:00:00,Tokyo,Apple,5
2021-09-25 16:00:00,Osaka,Apple,3
2021-09-25 18:00:00,Osaka,Grape,3
2021-09-25 20:00:00,Tokyo,Apple,1
2021-09-25 23:00:00,Osaka,Orange,1
2021-09-26 00:00:00,Tokyo,Apple,3
2021-09-26 01:00:00,Osaka,Orange,2
2021-09-26 02:00:00,Tokyo,Apple,2
2021-09-26 04:00:00,Tokyo,Apple,1
2021-09-26 07:00:00,Tokyo,Apple,5
2021-09-26 11:00:00,Osaka,Apple,2
2021-09-26 12:00:00,Osaka,Apple,1
2021-09-26 13:00:00,Tokyo,Apple,1
2021-09-26 14:00:00,Osaka,Grape,1
2021-09-26 15:00:00,Tokyo,Orange,5
2021-09-26 16:00:00,Tokyo,Apple,3
2021-09-26 17:00:00,Tokyo,Grape,4
2021-09-26 19:00:00,Osaka,Apple,4
2021-09-26 21:00:00,Tokyo,Grape,2
2021-09-26 22:00:00,Tokyo,Grape,5
2021-09-26 23:00:00,Tokyo,Grape,1
2021-09-27 00:00:00,Tokyo,Apple,1
2021-09-27 02:00:00,Tokyo,Apple,4
2021-09-27 03:00:00,Tokyo,Grape,5
2021-09-27 04:00:00,Osaka,Apple,1
2021-09-27 05:00:00,Tokyo,Grape,2
2021-09-27 08:00:00,Tokyo,Grape,7
2021-09-27 09:00:00,Tokyo,Apple,2
2021-09-27 11:00:00,Tokyo,Apple,7
2021-09-27 12:00:00,Osaka,Apple,1
2021-09-27 14:00:00,Osaka,Apple,4
2021-09-27 16:00:00,Osaka,Apple,3
2021-09-27 20:00:00,Tokyo,Grape,2
2021-09-27 21:00:00,Osaka,Grape,1
2021-09-27 22:00:00,Tokyo,Grape,1
2021-09-28 00:00:00,Tokyo,Apple,5
2021-09-28 01:00:00,Tokyo,Apple,2
2021-09-28 02:00:00,Osaka,Grape,2
2021-09-28 03:00:00,Tokyo,Orange,3
2021-09-28 04:00:00,Osaka,Apple,2
2021-09-28 06:00:00,Tokyo,Grape,2
2021-09-28 07:00:00,Osaka,Grape,3
2021-09-28 08:00:00,Tokyo,Apple,2
2021-09-28 09:00:00,Tokyo,Apple,1
2021-09-28 10:00:00,Tokyo,Orange,2
2021-09-28 12:00:00,Osaka,Apple,2
2021-09-28 14:00:00,Osaka,Orange,3
2021-09-28 15:00:00,Tokyo,Apple,2
2021-09-28 16:00:00,Tokyo,Grape,1
2021-09-28 17:00:00,Osaka,Apple,1
2021-09-28 21:00:00,Osaka,Grape,2
2021-09-29 01:00:00,Tokyo,Apple,7
2021-09-29 02:00:00,Tokyo,Orange,4
2021-09-29 04:00:00,Tokyo,Orange,3
2021-09-29 07:00:00,Tokyo,Grape,1
2021-09-29 08:00:00,Tokyo,Apple,8
2021-09-29 10:00:00,Tokyo,Grape,1
2021-09-29 11:00:00,Tokyo,Grape,5
2021-09-29 13:00:00,Tokyo,Grape,1
2021-09-29 14:00:00,Osaka,Grape,1
2021-09-29 15:00:00,Tokyo,Grape,1
2021-09-29 16:00:00,Osaka,Apple,2
2021-09-29 17:00:00,Tokyo,Grape,1
2021-09-29 18:00:00,Tokyo,Orange,4
2021-09-29 19:00:00,Tokyo,Apple,6
2021-09-29 20:00:00,Osaka,Grape,8
2021-09-29 22:00:00,Tokyo,Apple,3
2021-09-29 23:00:00,Tokyo,Grape,4
